,Tourist Spots,Latitude,Longitude,Location,Type
36,Lomas Rishi Cave,25.006444444444444,85.05,,Archaeological Site
37,Saptaparni Cave,25.00722222222222,85.4,,Archaeological Site
38,Sitamarhi Cave,24.9,85.28333333333333,,Archaeological Site
39,Son Bhandar Caves,25.029999999999998,85.41666666666667,,Archaeological Site
41,Indrapuri Barrage,24.836944444444445,84.13333333333334,,Dam
43,Buxar Fort,25.560555555555556,83.96666666666667,,Archaeological Site
44,Darbhanga Fort,26.160833333333333,85.88333333333334,,Archaeological Site
45,Deo Fort,24.65888888888889,84.43333333333334,,Archaeological Site
47,Munger Fort,25.380277777777778,86.45,,Archaeological Site
48,"Rohtas Fort, India",24.623333333333335,83.9,,Archaeological Site
50,Kargil Chowk,25.607991666666667,85.16666666666667,,Archaeological Site
52,Sabhyata Dwar,25.621944444444445,85.13333333333334,,Archaeological Site
53,Shaheed Smarak Patna,25.607991666666667,85.16666666666667,,Archaeological Site
54,Tomb of Sher Shah Suri,24.948055555555555,84.0,,Archaeological Site
56,Bihar Museum,25.608055555555556,85.11666666666666,,Museum
57,"Gandhi Sangrahalaya, Patna",25.620555555555555,85.13333333333334,,Museum
58,Indira Gandhi Planetarium,25.611111111111114,85.13333333333334,,Museum
59,Jalan Museum,25.59861111111111,85.21666666666667,,Museum
61,Patna Museum,25.6125,85.11666666666666,,Museum
62,Rajendra Smriti Sangrahalaya,25.6325,85.1,,Museum
63,Shrikrishna Science Centre,25.611111111111114,85.13333333333334,,Museum
65,Buddha Samyak Darshan Museum and Memorial Stupa,25.983333333333334,85.13333333333334,,Museum
66,Chandradhari Museum,26.151944444444442,85.9,,Museum
73,Navlakha Palace,26.403055555555554,86.16666666666667,,Archaeological Site
74,Bhimbandh Wildlife Sanctuary,25.233333333333334,86.28333333333333,,Wildlife
75,Gautam Budha Wildlife Sanctuary,24.533333333333335,85.56666666666666,,Wildlife
76,Kaimur Wildlife Sanctuary,25.05,83.5,,Wildlife
77,Kanwar Lake Bird Sanctuary,25.610000000000003,86.13333333333334,,Wildlife
78,Pant Wildlife Sanctuary,24.99277777777778,85.41666666666667,,Wildlife
79,Udaypur Wildlife Sanctuary,26.815833333333334,84.41666666666667,,Wildlife
81,Nagi Dam Bird Sanctuary,24.8175,86.4,,Wildlife
82,Padri Ki Haveli,25.611111111111114,85.13333333333334,,Church
83,"St Luke's Church, Patna, Bihar",25.636666666666667,85.03333333333333,,Church
84,Gurdwara Bal Lila Maini Sangat,25.607991666666667,85.16666666666667,,Temple
85,Gurdwara Gai Ghat,25.607991666666667,85.16666666666667,,Temple
87,Gurdwara Handi Sahib,25.607991666666667,85.16666666666667,,Temple
89,Aami Mandir,25.60527777777778,85.2,,Temple
90,Ashokdham Temple,25.19325,86.06666666666666,,Temple
91,Baba Garib Sthan Mandir,26.124444444444446,85.38333333333334,,Temple
92,Baithakji Hajipur,25.666666666666668,85.21666666666667,,Temple
93,Bari Sangat Bihar,25.666666666666668,85.21666666666667,,Temple
94,Budhimai,25.759722222222223,85.18333333333334,,Temple
96,Chandika Sthan,25.392444444444443,86.46666666666667,,Temple
98,Deo Surya Mandir,24.65888888888889,84.43333333333334,,Temple
99,ISKCON Temple Patna,25.608055555555556,85.13333333333334,,Temple
101,Khudneshwar Asthan Morwa,25.811944444444446,85.68333333333334,,Temple
102,Lal Keshwar Shiv Temple,25.7,85.2,,Temple
103,Maa Tara Chandi Temple,24.95,84.03333333333333,,Temple
104,Mahavir Mandir,25.60388888888889,85.13333333333334,,Temple
105,Mangla Gauri Temple,24.77513888888889,85.0,,Temple
106,Mittheswarnath Shiv Temple,26.169666666666668,85.9,,Temple
107,Mundeshwari Temple,24.983333333333334,83.55,,Temple
109,Pataleshwar Mandir,25.666666666666668,85.21666666666667,,Temple
110,Patan Devi,25.60527777777778,85.2,,Temple
111,Ramchaura Mandir,25.666666666666668,85.21666666666667,,Temple
114,Shri Shri 1008 Siya Ram Bhakt Mahavir Balaji Temple Karharia,25.233333333333334,86.58333333333333,,Temple
115,Shyama Mai Temple,26.1605,85.88333333333334,,Temple
116,Sita Kund,26.586388888888887,85.46666666666667,,Temple
120,Viraat Ramayan Mandir,26.365000000000002,84.86666666666666,,Temple
121,Vishnudham Mandir,26.114472222222222,84.58333333333333,,Temple
122,Vishnupad Mandir,24.610277777777778,85.0,,Temple
124,Sher Shah Suri Mosque,25.611111111111114,85.13333333333334,,Mosque
125,Mahabodhi Temple,24.69611111111111,84.98333333333333,,Temple
126,Basawan Singh Indoor Stadium,25.695555555555554,85.2,,Sport
131,Ramna Maidan,25.561666666666667,84.65,,Sport
133,Didarganj Yakshi,25.571666666666665,85.25,,Archaeological Site
134,Great Buddha (Bodh Gaya),24.683333333333334,85.03333333333333,,Archaeological Site
135,Lohanipur torso,25.60638888888889,85.15,,Archaeological Site
136,"Statue of Mahatma Gandhi, Gandhi Maidan",25.61861111111111,85.13333333333334,,Archaeological Site
137,Statue of Vasupujya,25.25,87.0,,Archaeological Site
139,Dhua Kund,24.95,84.03333333333333,,WaterFall
140,Kakolat Falls,24.699722222222224,85.61666666666666,,WaterFall
143,Manjhar Kund,24.95,84.03333333333333,,WaterFall
0,"Malhar, Chhattisgarh",21.89388888888889,82.28333333333333,,Archaeological Site
2,Kanger Ghati National Park,18.75,82.16666666666667,,Archaeological Site
3,Kotumsar Cave,18.871666666666666,81.93333333333334,,Archaeological Site
4,Dudhawa Dam,20.30777777777778,81.76666666666667,,Dam
5,Gangrel Dam,20.62666666666667,81.55,,Dam
7,Kherkatta Reservoir,20.154791666666664,80.63333333333334,,Dam
8,Murrum Silli Dam,20.53805555555556,81.65,,Dam
11,Chaiturgarh,22.510277777777777,82.26666666666667,,Archaeological Site
12,Chirmiri,23.183333333333334,82.35,,Hill Station
13,Mainpat,22.836944444444445,83.3,,Hill Station
14,Indravati National Park,19.205,81.01666666666667,,Wildlife
15,Kanger Ghati National Park,18.75,82.16666666666667,,Wildlife
16,Achanakmar Wildlife Sanctuary,22.55027777777778,81.73333333333333,,Wildlife
19,"Our Lady of the Rosary Cathedral, Jashpur",22.743333333333336,83.95,,Church
20,Ashtabhuji Temple,21.95138888888889,83.01666666666667,,Temple
